New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
41.769358000,0.287431000,0.690918,43,228.675964,61994,0.0022,-0.081,2.470,0.918,-0.001,-0.011,-0.010,-0.111,0.028,0.068,-0.054,0.159,-0.253,-0.077,2.473,1.020,1497,1502,1877,1509,0.094,0.040,3.424,1,79,0,0.008,0.000,0.000,0.008,0.004,0.003,0.102
41.784542000,0.302615000,0.701172,43,73.292290,61995,0.0049,-0.081,2.470,0.918,-0.003,-0.013,-0.009,-0.110,0.029,0.063,0.003,0.145,-0.316,-0.077,2.473,1.020,1497,1502,1877,1508,0.098,0.043,3.552,1,79,0,0.009,0.000,0.000,0.009,0.004,0.003,0.102
41.788859000,0.306932000,0.710449,43,65.889175,61996,-0.0050,-0.081,2.470,0.918,-0.004,-0.010,-0.009,-0.108,0.029,0.061,0.036,0.121,-0.279,-0.077,2.473,1.020,1497,1503,1877,1508,0.103,0.046,3.679,1,79,0,0.009,0.000,0.000,0.009,0.004,0.003,0.102
41.797079000,0.315152000,0.721191,43,231.910950,61997,-0.0025,-0.082,2.470,0.917,-0.005,-0.006,-0.010,-0.106,0.029,0.061,0.083,0.078,-0.209,-0.077,2.473,1.020,1498,1503,1877,1508,0.107,0.049,3.807,1,79,0,0.009,0.000,0.000,0.009,0.004,0.003,0.102
41.817075000,0.335148000,0.730957,43,121.773018,61998,0.0102,-0.082,2.470,0.917,-0.005,-0.002,-0.009,-0.104,0.028,0.063,0.107,0.035,-0.107,-0.077,2.473,1.020,1499,1503,1877,1508,0.112,0.052,3.935,1,79,0,0.009,0.000,0.000,0.009,0.005,0.003,0.102
41.829874000,0.347947000,0.741211,43,50.032520,61999,0.0025,-0.082,2.470,0.917,-0.006,-0.001,-0.011,-0.104,0.027,0.065,0.091,0.011,-0.039,-0.077,2.473,1.020,1499,1503,1879,1509,0.116,0.055,4.063,1,79,0,0.009,0.000,0.000,0.009,0.005,0.003,0.102
41.839913000,0.357986000,0.750977,43,78.173859,62000,0.0003,-0.082,2.470,0.917,-0.007,0.000,-0.014,-0.103,0.027,0.066,0.088,-0.004,0.001,-0.077,2.473,1.020,1499,1503,1880,1509,0.121,0.058,4.191,1,79,0,0.009,0.000,0.000,0.009,0.005,0.003,0.103
41.850186000,0.368259000,0.760742,43,99.661156,62001,0.0005,-0.082,2.470,0.917,-0.007,0.002,-0.015,-0.102,0.026,0.067,0.101,-0.015,0.032,-0.077,2.473,1.020,1499,1504,1881,1509,0.126,0.061,4.320,1,79,0,0.010,0.000,0.000,0.010,0.005,0.003,0.103
41.850521000,0.368594000,0.770996,43,97.408920,62002,-0.0099,-0.082,2.470,0.917,-0.006,0.002,-0.015,-0.099,0.027,0.068,0.130,0.002,0.051,-0.077,2.473,1.020,1499,1503,1881,1509,0.130,0.064,4.449,1,79,0,0.010,0.000,0.000,0.010,0.005,0.003,0.103
41.858171000,0.376244000,0.781006,43,3030.302979,62003,-0.0024,-0.082,2.470,0.917,-0.004,0.004,-0.014,-0.096,0.027,0.068,0.177,0.003,0.033,-0.077,2.473,1.020,1500,1503,1881,1509,0.135,0.067,4.578,1,79,0,0.010,0.000,0.000,0.010,0.005,0.003,0.103
41.869291000,0.387364000,0.790771,43,130.770233,62004,0.0013,-0.082,2.471,0.916,-0.002,0.005,-0.014,-0.092,0.027,0.068,0.243,0.007,0.009,-0.077,2.473,1.020,1500,1502,1881,1509,0.140,0.069,4.707,1,79,0,0.009,0.000,0.000,0.009,0.005,0.003,0.103
41.879880000,0.397953000,0.799805,43,89.984703,62005,0.0015,-0.082,2.471,0.916,-0.001,0.006,-0.016,-0.088,0.027,0.067,0.295,0.019,-0.015,-0.077,2.473,1.020,1500,1502,1882,1509,0.145,0.072,4.836,1,79,0,0.009,0.000,0.000,0.009,0.005,0.003,0.103
41.887042000,0.405115000,0.811035,43,94.509026,62006,-0.0041,-0.082,2.471,0.916,0.000,0.007,-0.015,-0.084,0.028,0.066,0.304,0.020,-0.039,-0.077,2.473,1.020,1500,1502,1881,1509,0.149,0.074,4.965,1,79,0,0.009,0.000,-0.000,0.009,0.005,0.002,0.104
41.898336000,0.416409000,0.821045,43,139.723343,62007,0.0013,-0.082,2.471,0.916,0.002,0.008,-0.013,-0.081,0.028,0.064,0.313,0.025,-0.067,-0.077,2.473,1.020,1500,1501,1882,1508,0.154,0.077,5.095,1,79,0,0.009,0.000,-0.000,0.009,0.005,0.002,0.104
41.908204000,0.426277000,0.830811,43,88.605354,62008,0.0001,-0.082,2.471,0.916,0.002,0.008,-0.010,-0.078,0.029,0.063,0.294,0.032,-0.081,-0.077,2.473,1.020,1501,1501,1881,1508,0.158,0.079,5.225,1,79,0,0.009,0.000,-0.000,0.009,0.005,0.002,0.104
41.919359000,0.437432000,0.841064,43,101.409592,62009,0.0009,-0.082,2.471,0.916,0.002,0.007,-0.008,-0.076,0.028,0.061,0.279,0.017,-0.099,-0.077,2.473,1.020,1500,1501,1880,1508,0.163,0.081,5.354,1,79,0,0.009,0.000,-0.000,0.009,0.005,0.002,0.104
41.928962000,0.447035000,0.851074,43,89.702187,62010,-0.0004,-0.082,2.471,0.916,0.002,0.006,-0.007,-0.074,0.027,0.061,0.261,-0.006,-0.089,-0.077,2.473,1.020,1500,1501,1880,1508,0.168,0.084,5.484,1,79,0,0.009,0.000,-0.000,0.009,0.005,0.002,0.104
41.940385000,0.458458000,0.860840,43,104.220947,62011,0.0017,-0.082,2.471,0.916,0.003,0.006,-0.005,-0.072,0.026,0.061,0.246,-0.040,-0.053,-0.077,2.473,1.020,1500,1501,1879,1508,0.172,0.086,5.614,1,79,0,0.009,0.000,-0.000,0.009,0.004,0.002,0.104
41.956100000,0.474173000,0.871094,43,87.596359,62012,0.0055,-0.081,2.471,0.916,0.006,0.006,-0.003,-0.071,0.025,0.062,0.210,-0.058,-0.017,-0.077,2.473,1.020,1500,1500,1878,1508,0.176,0.088,5.743,1,79,0,0.009,0.000,-0.000,0.009,0.004,0.002,0.104
41.965360000,0.483433000,0.879639,43,63.657776,62013,0.0007,-0.081,2.471,0.916,0.003,0.005,0.003,-0.073,0.024,0.063,0.089,-0.059,0.009,-0.077,2.473,1.020,1500,1501,1876,1508,0.181,0.090,5.872,1,79,0,0.009,0.000,-0.000,0.009,0.004,0.002,0.103
41.967533000,0.485606000,0.890381,43,108.061378,62014,-0.0086,-0.081,2.471,0.916,0.006,0.004,0.004,-0.073,0.024,0.063,0.081,-0.064,0.014,-0.077,2.473,1.020,1500,1500,1877,1508,0.185,0.092,6.002,1,79,0,0.008,0.000,-0.000,0.008,0.004,0.002,0.103
41.976871000,0.494944000,0.900879,43,461.467468,62015,-0.0012,-0.081,2.471,0.916,0.013,0.005,0.002,-0.070,0.023,0.063,0.133,-0.071,0.005,-0.077,2.473,1.020,1500,1498,1878,1508,0.189,0.094,6.131,1,79,0,0.008,0.000,-0.000,0.008,0.004,0.002,0.103
41.989927000,0.508000000,0.910889,43,107.181137,62016,0.0030,-0.081,2.471,0.916,0.016,0.005,0.002,-0.068,0.021,0.063,0.139,-0.085,-0.008,-0.077,2.473,1.020,1500,1497,1877,1508,0.192,0.096,6.260,1,79,0,0.007,0.000,-0.000,0.007,0.004,0.002,0.103
41.997977000,0.516050000,0.920898,43,76.640099,62017,-0.0020,-0.080,2.471,0.916,0.018,0.006,0.005,-0.069,0.021,0.061,0.084,-0.070,-0.036,-0.077,2.473,1.020,1500,1497,1876,1508,0.196,0.098,6.390,1,79,0,0.007,0.000,-0.000,0.007,0.003,0.002,0.103
42.009334000,0.527407000,0.930908,43,124.316261,62018,0.0013,-0.080,2.471,0.916,0.020,0.006,0.007,-0.070,0.021,0.060,0.023,-0.050,-0.063,-0.077,2.473,1.020,1500,1496,1875,1508,0.199,0.100,6.519,1,79,0,0.006,0.000,-0.000,0.006,0.003,0.002,0.103
42.019648000,0.537721000,0.940918,43,88.113487,62019,0.0003,-0.080,2.472,0.917,0.021,0.007,0.009,-0.072,0.022,0.058,-0.033,-0.017,-0.096,-0.077,2.473,1.020,1500,1496,1875,1508,0.202,0.102,6.647,1,79,0,0.006,0.000,-0.000,0.006,0.003,0.002,0.103
42.029133000,0.547206000,0.949707,43,97.030853,62020,0.0007,-0.080,2.472,0.917,0.021,0.007,0.009,-0.074,0.023,0.056,-0.072,0.030,-0.139,-0.077,2.473,1.020,1501,1496,1874,1507,0.205,0.103,6.776,1,79,0,0.005,0.000,-0.000,0.005,0.003,0.002,0.103
42.045872000,0.563945000,0.960693,43,105.485229,62021,0.0057,-0.080,2.472,0.917,0.022,0.006,0.011,-0.077,0.024,0.054,-0.123,0.023,-0.138,-0.077,2.473,1.020,1500,1495,1873,1507,0.207,0.105,6.905,1,79,0,0.005,0.000,-0.000,0.005,0.002,0.002,0.103
42.052210000,0.570283000,0.970215,43,59.769291,62022,-0.0032,-0.079,2.472,0.917,0.022,0.007,0.011,-0.079,0.024,0.053,-0.151,0.041,-0.131,-0.077,2.473,1.020,1501,1495,1874,1507,0.209,0.106,7.033,1,79,0,0.004,0.000,-0.000,0.004,0.002,0.002,0.103
42.059311000,0.577384000,0.980957,43,157.952927,62023,-0.0036,-0.079,2.472,0.917,0.022,0.008,0.011,-0.082,0.025,0.052,-0.169,0.049,-0.115,-0.077,2.473,1.020,1501,1495,1874,1507,0.211,0.108,7.161,1,79,0,0.004,0.000,-0.000,0.004,0.002,0.001,0.103
42.069547000,0.587620000,0.991211,43,140.924469,62024,-0.0000,-0.079,2.472,0.917,0.022,0.008,0.010,-0.083,0.026,0.052,-0.159,0.051,-0.085,-0.077,2.473,1.020,1501,1495,1875,1507,0.213,0.109,7.289,1,79,0,0.004,0.000,-0.000,0.004,0.002,0.001,0.102
42.079665000,0.597738000,1.000977,43,97.761269,62025,0.0003,-0.079,2.472,0.917,0.021,0.008,0.010,-0.085,0.026,0.053,-0.165,0.051,-0.057,-0.077,2.473,1.020,1501,1495,1874,1507,0.215,0.110,7.417,1,79,0,0.003,0.000,-0.000,0.003,0.002,0.001,0.102
42.087274000,0.605347000,1.010986,43,98.902184,62026,-0.0024,-0.078,2.472,0.917,0.021,0.009,0.010,-0.087,0.027,0.053,-0.180,0.049,-0.043,-0.077,2.473,1.020,1501,1495,1874,1507,0.216,0.111,7.545,1,79,0,0.003,0.000,-0.000,0.003,0.001,0.001,0.102
42.098272000,0.616345000,1.020996,43,131.544327,62027,0.0010,-0.078,2.472,0.917,0.020,0.010,0.008,-0.089,0.028,0.052,-0.180,0.078,-0.045,-0.077,2.473,1.020,1501,1495,1875,1507,0.217,0.112,7.673,1,79,0,0.002,0.000,-0.000,0.002,0.001,0.001,0.102
42.107939000,0.626012000,1.030762,43,90.983536,62028,-0.0001,-0.078,2.472,0.918,0.019,0.006,0.011,-0.094,0.027,0.052,-0.260,0.033,-0.038,-0.077,2.473,1.020,1500,1495,1874,1507,0.218,0.114,7.800,1,79,0,0.002,0.000,-0.000,0.002,0.001,0.001,0.102
42.121402000,0.639475000,1.041016,43,103.519669,62029,0.0032,-0.078,2.472,0.918,0.017,0.006,0.012,-0.097,0.028,0.051,-0.281,0.041,-0.048,-0.077,2.473,1.020,1500,1496,1873,1507,0.219,0.115,7.928,1,79,0,0.002,0.000,-0.000,0.002,0.001,0.001,0.102
42.130545000,0.648618000,1.051025,43,74.327339,62030,-0.0009,-0.078,2.472,0.918,0.016,0.004,0.013,-0.100,0.029,0.051,-0.285,0.056,-0.041,-0.077,2.473,1.020,1500,1496,1873,1507,0.220,0.116,8.055,1,79,0,0.002,0.000,-0.000,0.002,0.001,0.001,0.102
42.138531000,0.656604000,1.061035,43,109.433136,62031,-0.0020,-0.078,2.472,0.918,0.016,0.003,0.013,-0.103,0.030,0.051,-0.274,0.063,-0.034,-0.077,2.473,1.020,1500,1496,1873,1507,0.221,0.117,8.182,1,79,0,0.001,0.000,-0.000,0.001,0.001,0.001,0.102
42.151387000,0.669460000,1.071045,43,125.328987,62032,0.0028,-0.078,2.472,0.918,0.014,0.002,0.013,-0.105,0.030,0.051,-0.255,0.060,-0.035,-0.077,2.473,1.020,1500,1496,1873,1507,0.221,0.118,8.309,1,79,0,0.001,0.000,-0.000,0.001,0.001,0.001,0.101
42.157253000,0.675326000,1.081055,43,77.827065,62033,-0.0041,-0.078,2.472,0.918,0.012,0.000,0.012,-0.106,0.031,0.050,-0.221,0.055,-0.031,-0.077,2.473,1.020,1499,1497,1874,1507,0.222,0.119,8.436,1,79,0,0.001,0.000,-0.000,0.001,0.000,0.001,0.101
42.169257000,0.687330000,1.090820,43,170.619354,62034,0.0022,-0.078,2.472,0.918,0.010,-0.001,0.011,-0.106,0.031,0.050,-0.179,0.044,-0.031,-0.077,2.473,1.020,1499,1497,1874,1507,0.222,0.120,8.562,1,79,0,0.001,0.000,-0.000,0.001,0.000,0.001,0.101
42.179813000,0.697886000,1.100830,43,83.354172,62035,0.0005,-0.078,2.472,0.918,0.008,-0.003,0.012,-0.107,0.031,0.050,-0.153,0.029,-0.026,-0.077,2.473,1.020,1499,1498,1873,1507,0.222,0.121,8.689,1,79,0,0.001,0.000,-0.000,0.001,0.000,0.001,0.101
42.190475000,0.708548000,1.110596,43,94.795715,62036,0.0009,-0.078,2.472,0.919,0.005,-0.005,0.011,-0.108,0.031,0.049,-0.125,0.018,-0.032,-0.077,2.473,1.020,1498,1498,1873,1506,0.223,0.122,8.815,1,79,0,0.001,0.000,-0.000,0.001,0.000,0.001,0.101
